,Dataset,Region,Predicted vs. Observed RDM
127,N&N,7Networks_LH_DorsAttn_Post_3,0.2159649522919168
128,N&N,7Networks_LH_DorsAttn_Post_4,0.0857749304342199
129,N&N,7Networks_LH_DorsAttn_Post_5,0.16911069519287736
130,N&N,7Networks_LH_DorsAttn_Post_6,0.12901303608373402
131,N&N,7Networks_LH_DorsAttn_PrCv_1,0.16238603871809223
132,N&N,7Networks_LH_Limbic_OFC_1,0.10442854907992227
133,N&N,7Networks_LH_Limbic_TempPole_1,0.1371808660020771
134,N&N,7Networks_LH_Limbic_TempPole_2,0.14471024258336743
135,N&N,7Networks_LH_SalVentAttn_FrOperIns_1,0.1478306597078897
136,N&N,7Networks_LH_SalVentAttn_FrOperIns_2,0.16033484559192643
137,N&N,7Networks_LH_SalVentAttn_Med_1,0.15300712024372054
138,N&N,7Networks_LH_SalVentAttn_Med_2,0.12924180367779783
139,N&N,7Networks_LH_SalVentAttn_Med_3,0.1586610951215053
140,N&N,7Networks_LH_SalVentAttn_PFCl_1,0.16889647845424174
141,N&N,7Networks_LH_SalVentAttn_ParOper_1,0.18209101321325735
142,N&N,7Networks_LH_SomMot_1,0.17411407845524698
143,N&N,7Networks_LH_SomMot_2,0.14305549115733962
144,N&N,7Networks_LH_SomMot_3,0.15829920856163288
145,N&N,7Networks_LH_SomMot_4,0.1027015962589977
146,N&N,7Networks_LH_SomMot_5,0.11365761133509124
147,N&N,7Networks_LH_SomMot_6,0.12348871209222578
148,N&N,7Networks_LH_Vis_1,0.2297486082131914
149,N&N,7Networks_LH_Vis_2,0.317301406896829
150,N&N,7Networks_LH_Vis_3,0.2297911298839764
151,N&N,7Networks_LH_Vis_4,0.2982122678287246
152,N&N,7Networks_LH_Vis_5,0.23962404007391033
153,N&N,7Networks_LH_Vis_6,0.08536300803124287
154,N&N,7Networks_LH_Vis_7,0.26698535301845433
155,N&N,7Networks_LH_Vis_8,0.30053093030605177
156,N&N,7Networks_LH_Vis_9,0.17493772221311224
157,N&N,7Networks_RH_Cont_Cing_1,0.11100116293753876
158,N&N,7Networks_RH_Cont_PFCl_1,0.13404853677829234
159,N&N,7Networks_RH_Cont_PFCl_2,0.17088419064636332
160,N&N,7Networks_RH_Cont_PFCl_3,0.1577050109351312
161,N&N,7Networks_RH_Cont_PFCl_4,0.17930064165754098
162,N&N,7Networks_RH_Cont_PFCmp_1,0.16411520306799385
163,N&N,7Networks_RH_Cont_Par_1,0.138216540100612
164,N&N,7Networks_RH_Cont_Par_2,0.14308911645019443
