,Dataset,Task,Region,Predicted vs. Observed Evoked Responses
120,MDTB,AnimatedMovie,7Networks_LH_Default_Temp_1,0.09161120527525345
121,MDTB,AnimatedMovie,7Networks_LH_Default_Temp_2,0.06702696149049898
122,MDTB,AnimatedMovie,7Networks_LH_Default_pCunPCC_1,0.4221416476966487
123,MDTB,AnimatedMovie,7Networks_LH_Default_pCunPCC_2,0.07294901451833209
124,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_FEF_1,0.1170787284287817
125,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_Post_1,0.052026554642055946
126,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_Post_2,0.14161868900133628
127,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_Post_3,0.26405211798797423
128,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_Post_4,0.16125403113054487
129,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_Post_5,0.17982081587431015
130,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_Post_6,0.1167859361718404
131,MDTB,AnimatedMovie,7Networks_LH_DorsAttn_PrCv_1,0.16736696759483755
132,MDTB,AnimatedMovie,7Networks_LH_Limbic_OFC_1,0.11226356824185814
133,MDTB,AnimatedMovie,7Networks_LH_Limbic_TempPole_1,0.07693092052390701
134,MDTB,AnimatedMovie,7Networks_LH_Limbic_TempPole_2,0.06824328190202406
135,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_FrOperIns_1,0.07630719192622547
136,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_FrOperIns_2,0.12236104447619149
137,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_Med_1,0.1912847212986677
138,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_Med_2,0.2604300598376919
139,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_Med_3,0.06842881739529842
140,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_PFCl_1,0.152666701524851
141,MDTB,AnimatedMovie,7Networks_LH_SalVentAttn_ParOper_1,0.086991319046712
142,MDTB,AnimatedMovie,7Networks_LH_SomMot_1,0.0708323048918285
143,MDTB,AnimatedMovie,7Networks_LH_SomMot_2,0.048871621588952786
144,MDTB,AnimatedMovie,7Networks_LH_SomMot_3,0.10499262285994616
145,MDTB,AnimatedMovie,7Networks_LH_SomMot_4,0.12134334087327485
146,MDTB,AnimatedMovie,7Networks_LH_SomMot_5,0.11658788685904059
147,MDTB,AnimatedMovie,7Networks_LH_SomMot_6,0.15933384536637993
148,MDTB,AnimatedMovie,7Networks_LH_Vis_1,0.23044425638693317
149,MDTB,AnimatedMovie,7Networks_LH_Vis_2,0.23357910026594486
150,MDTB,AnimatedMovie,7Networks_LH_Vis_3,0.3102008554060718
151,MDTB,AnimatedMovie,7Networks_LH_Vis_4,0.20113555535515446
152,MDTB,AnimatedMovie,7Networks_LH_Vis_5,0.21000784202613035
153,MDTB,AnimatedMovie,7Networks_LH_Vis_6,0.35288641842301993
154,MDTB,AnimatedMovie,7Networks_LH_Vis_7,0.18212719943724504
155,MDTB,AnimatedMovie,7Networks_LH_Vis_8,0.2571900899244895
156,MDTB,AnimatedMovie,7Networks_LH_Vis_9,0.40211209383688323
157,MDTB,AnimatedMovie,7Networks_RH_Cont_Cing_1,0.025984690626869013
158,MDTB,AnimatedMovie,7Networks_RH_Cont_PFCl_1,0.20455714292222824
159,MDTB,AnimatedMovie,7Networks_RH_Cont_PFCl_2,0.13555193746115105
160,MDTB,AnimatedMovie,7Networks_RH_Cont_PFCl_3,0.18367426298863865
161,MDTB,AnimatedMovie,7Networks_RH_Cont_PFCl_4,0.17301316366369712
162,MDTB,AnimatedMovie,7Networks_RH_Cont_PFCmp_1,0.17190614977463284
163,MDTB,AnimatedMovie,7Networks_RH_Cont_Par_1,0.1716060451192474
164,MDTB,AnimatedMovie,7Networks_RH_Cont_Par_2,0.22250474203672949
165,MDTB,AnimatedMovie,7Networks_RH_Cont_pCun_1,0.2604781942742261
166,MDTB,AnimatedMovie,7Networks_RH_Default_PFCdPFCm_1,0.11263741045383702
167,MDTB,AnimatedMovie,7Networks_RH_Default_PFCdPFCm_2,0.09691699823283645
168,MDTB,AnimatedMovie,7Networks_RH_Default_PFCdPFCm_3,0.0780783400547086
169,MDTB,AnimatedMovie,7Networks_RH_Default_PFCv_1,0.12544646872230983
170,MDTB,AnimatedMovie,7Networks_RH_Default_PFCv_2,0.13499719210485284
171,MDTB,AnimatedMovie,7Networks_RH_Default_Par_1,0.1399238429017028
172,MDTB,AnimatedMovie,7Networks_RH_Default_Temp_1,0.17135488110266675
173,MDTB,AnimatedMovie,7Networks_RH_Default_Temp_2,0.08920725728693633
174,MDTB,AnimatedMovie,7Networks_RH_Default_Temp_3,0.16523947929292082
175,MDTB,AnimatedMovie,7Networks_RH_Default_pCunPCC_1,0.4031971419203056
176,MDTB,AnimatedMovie,7Networks_RH_Default_pCunPCC_2,0.039495479167214464
177,MDTB,AnimatedMovie,7Networks_RH_DorsAttn_FEF_1,0.061756555890411235
